q;1;43;7;7;35;15;
q;2;33;8;7;39;20;
q;3;51;8;7;39;23;
q;4;32;8;7;38;24;
q;5;42;7;6;33;19;
q;6;29;6;5;26;19;
q;7;23;6;5;27;22;
q;8;27;7;5;31;17;
q;9;25;7;5;29;20;
q;10;61;7;5;28;21;
q;11;41;7;5;27;21;
q;12;57;8;5;28;24;
q;13;59;7;4;26;24;
q;14;28;7;4;26;29;
q;15;46;6;3;26;26;
q;16;1;6;3;22;24;
q;17;36;7;3;29;28;
q;18;11;7;3;24;28;
q;19;24;7;3;24;29;
q;20;60;8;3;29;33;
q;21;3;8;3;27;34;
q;22;34;6;2;25;23;
q;23;16;6;2;23;25;
q;24;9;7;2;23;30;
q;25;6;7;2;22;29;
q;26;20;8;2;28;34;
q;27;4;6;1;16;26;
q;28;58;7;1;25;34;
q;29;62;7;1;15;32;
q;30;18;8;1;25;38;
q;31;2;8;1;15;38;
q;32;10;7;0;13;34;
z;33;56;0;0;0;0;
