q;1;38;5;5;25;10;
q;2;27;5;5;25;11;
q;3;39;4;4;20;6;
q;3;41;4;4;20;6;
q;5;15;5;5;25;12;
q;6;31;4;4;20;7;
q;7;40;4;4;20;9;
q;8;19;4;4;20;10;
q;9;29;5;4;24;13;
q;10;43;5;4;21;14;
q;11;7;5;4;20;16;
q;12;6;4;3;18;9;
q;13;32;4;3;17;10;
q;14;36;4;3;18;14;
q;15;9;4;3;15;11;
q;16;24;4;3;15;13;
q;17;35;5;3;20;14;
q;18;44;5;3;18;13;
q;19;30;5;3;20;18;
q;20;34;4;2;14;14;
q;21;22;4;2;15;16;
q;22;26;4;2;14;16;
q;23;33;4;2;11;13;
q;24;17;4;2;12;15;
q;25;13;5;2;19;19;
q;26;23;5;2;16;19;
q;27;12;5;2;14;23;
q;28;37;4;1;13;15;
q;29;42;4;1;13;16;
q;29;25;4;1;13;16;
q;31;16;4;1;9;16;
q;32;20;4;1;10;18;
q;33;3;5;1;15;23;
q;34;4;5;1;14;22;
q;35;21;5;1;12;22;
q;36;10;4;0;12;20;
q;37;5;4;0;9;20;
q;37;2;4;0;9;20;
q;39;28;5;0;13;25;
q;39;8;5;0;13;25;
q;41;14;4;0;8;20;
q;42;18;5;0;10;25;
q;43;11;4;0;5;20;
